accession,genus,organism,length,gc,n_frac,verdict,reason
NZ_MG252893.1,Raoultella,Raoultella ornithinolytica,53051,0.4928,0.000000,keep,
NZ_MH234502.1,Escherichia,Escherichia coli,45547,0.4678,0.000000,keep,
NZ_MG557995.1,Citrobacter,Citrobacter freundii,46826,0.5622,0.000000,keep,
NZ_MH043625.1,Escherichia,Escherichia coli,50537,0.4696,0.000000,keep,
NZ_MG205642.1,Paraclostridium,Paraclostridium sordellii,106013,0.2533,0.000000,keep,
NZ_MF344582.1,Citrobacter,Citrobacter freundii,354045,0.4634,0.000000,keep,
NZ_MG948333.1,Escherichia,Escherichia coli,87860,0.4999,0.000000,keep,
NZ_MF497432.1,Vibrio,Vibrio alginolyticus,133742,0.5145,0.000000,keep,
NZ_MG710483.1,Bacillus,Bacillus thuringiensis,8279,0.2976,0.000000,keep,
NZ_MG948332.1,Escherichia,Escherichia coli,91353,0.4951,0.000000,keep,
NZ_MG456577.1,Vibrio,Vibrio alginolyticus,50001,0.5738,0.000000,keep,
NZ_MG904994.1,Escherichia,Escherichia coli,62457,0.4344,0.000000,keep,
NZ_MG557994.1,Citrobacter,Citrobacter freundii,46826,0.5621,0.000000,keep,
NZ_MF788070.1,Raoultella,Raoultella ornithinolytica,108756,0.5260,0.000000,keep,
NZ_MG053108.1,Citrobacter,Citrobacter freundii,191541,0.4997,0.000000,keep,
NZ_MG893567.1,Escherichia,Escherichia coli,51479,0.4637,0.000000,keep,
NZ_MF627445.1,Vibrio,Vibrio parahaemolyticus,192736,0.5258,0.000000,keep,
NZ_MG904997.1,Escherichia,Escherichia coli,49658,0.5191,0.000000,keep,
NZ_MG372114.1,Salmonella,Salmonella enterica,227712,0.4612,0.000000,keep,
NZ_MF996511.1,Bacillus,Bacillus glycinifermentans,33117,0.3679,0.000000,keep,
NZ_MG886287.1,Escherichia,Escherichia coli,5361,0.5260,0.000000,keep,
NZ_MF788069.1,Raoultella,Raoultella ornithinolytica,71286,0.5493,0.000000,keep,
NZ_MG557996.1,Citrobacter,Citrobacter freundii,46826,0.5621,0.000000,keep,
NZ_MG845201.1,Klebsiella,Klebsiella pneumoniae,280625,0.4670,0.000000,keep,
NZ_MF951102.1,Weissella,Weissella cibaria,11630,0.3464,0.000000,keep,
NZ_MG288682.1,Klebsiella,Klebsiella aerogenes,239779,0.4533,0.000000,keep,
NZ_MG845200.1,Klebsiella,Klebsiella oxytoca,275300,0.4642,0.000000,keep,
NZ_MF807212.1,Streptococcus,Streptococcus thermophilus,7386,0.3374,0.000000,keep,
NZ_MG288684.1,Klebsiella,Klebsiella aerogenes,106790,0.5233,0.000000,keep,
NZ_MF564290.1,Pseudomonas,Pseudomonas putida,29698,0.6116,0.000000,keep,
NZ_MG288681.1,Klebsiella,Klebsiella aerogenes,105912,0.5318,0.000000,keep,
NZ_MG860488.1,Escherichia,Escherichia coli,109904,0.5174,0.000000,keep,
NZ_MF807214.1,Streptococcus,Streptococcus thermophilus,3001,0.3222,0.000000,keep,
NZ_MG288683.1,Klebsiella,Klebsiella aerogenes,112063,0.5124,0.000000,keep,
NZ_MF564291.1,Pseudomonas,Pseudomonas putida,49730,0.5866,0.000000,keep,
NZ_MG736312.1,Klebsiella,Klebsiella pneumoniae,95983,0.5016,0.000000,keep,
NZ_MF996509.1,Bacillus,Bacillus glycinifermentans,61594,0.4004,0.000000,keep,
NZ_MF706324.1,Staphylococcus,Staphylococcus aureus,11653,0.2882,0.000000,keep,
NZ_MG212497.1,Edwardsiella,Edwardsiella piscicida,3782,0.4093,0.000000,keep,
NZ_MF344578.1,Pseudomonas,Pseudomonas aeruginosa,24306,0.6267,0.000000,keep,
NZ_MG212499.1,Edwardsiella,Edwardsiella piscicida,11858,0.5945,0.000000,keep,
NZ_MF156711.1,Serratia,Serratia marcescens,46292,0.4770,0.000000,keep,
NZ_MF996510.1,Bacillus,Bacillus glycinifermentans,39382,0.4616,0.000000,keep,
NZ_MG747473.1,Escherichia,Escherichia coli,33310,0.4184,0.000000,keep,
NZ_MF150118.1,Proteus,Proteus mirabilis,176346,0.5190,0.000000,keep,
NZ_MG764552.1,Klebsiella,Klebsiella pneumoniae,93441,0.5123,0.000000,keep,
NZ_MF503689.1,Bacillus,Bacillus zhangzhouensis,6134,0.3642,0.000000,keep,
NZ_MF150117.1,Proteus,Proteus mirabilis,36059,0.3434,0.000000,keep,
NZ_MG747472.1,Klebsiella,Klebsiella pneumoniae,61902,0.4256,0.000000,keep,
NZ_MF925336.1,Edwardsiella,Edwardsiella tarda,4830,0.5410,0.000000,keep,
NZ_MF141039.1,Pseudomonas,Pseudomonas aeruginosa,26108,0.6230,0.000000,keep,
NZ_MG800339.1,Escherichia,Escherichia coli,8749,0.4550,0.000000,keep,
NZ_MF925335.1,Edwardsiella,Edwardsiella tarda,3311,0.4503,0.000000,keep,
NZ_MF135534.1,Raoultella,Raoultella ornithinolytica,253021,0.4566,0.000000,keep,
NZ_MG764553.1,Klebsiella,Klebsiella pneumoniae,153274,0.5429,0.000000,keep,
NZ_MF497780.1,Citrobacter,Citrobacter freundii,46826,0.5621,0.000000,keep,
NZ_MF428416.1,Salmonella,Salmonella enterica,45040,0.4184,0.000000,keep,
NZ_MG267386.1,Klebsiella,Klebsiella pneumoniae,65631,0.4292,0.000000,keep,
NZ_MF925338.1,Edwardsiella,Edwardsiella tarda,13864,0.5739,0.000000,keep,
NZ_MF042357.1,Serratia,Serratia marcescens,105614,0.5516,0.000000,keep,
NZ_MG764549.1,Klebsiella,Klebsiella pneumoniae,76297,0.5386,0.000000,keep,
NZ_MF770239.1,Aeromonas,Aeromonas sobria,3818,0.5765,0.000000,keep,
NZ_MF042352.1,Serratia,Serratia marcescens,119047,0.5415,0.000000,keep,
NZ_MG775280.1,Klebsiella,Klebsiella pneumoniae,801,0.5443,0.000000,reject,F3_too_short
NZ_MF770242.1,Aeromonas,Aeromonas sobria,4393,0.5522,0.000000,keep,
NZ_MF807213.1,Streptococcus,Streptococcus thermophilus,5143,0.3681,0.000000,keep,
NZ_MG288680.1,Klebsiella,Klebsiella pneumoniae,293643,0.4642,0.000000,keep,
NZ_MF497781.1,Citrobacter,Citrobacter freundii,81348,0.5310,0.000000,keep,
NZ_MF622050.1,Staphylococcus,Staphylococcus aureus,28623,0.2776,0.000000,keep,
NZ_MF415608.1,Enterobacter,Enterobacter cloacae,60125,0.4919,0.000000,keep,
NZ_MF344579.1,Pseudomonas,Pseudomonas aeruginosa,33131,0.6107,0.000000,keep,
NZ_MG288676.1,Klebsiella,Klebsiella pneumoniae,164731,0.5152,0.000000,keep,
NZ_MF621618.1,Aeromonas,Aeromonas salmonicida,7700,0.5461,0.000000,keep,
NZ_MF168945.1,Pseudomonas,Pseudomonas aeruginosa,31166,0.6285,0.000000,keep,
NZ_MF621617.1,Aeromonas,Aeromonas salmonicida,12536,0.5462,0.000000,keep,
NZ_MF156710.1,Proteus,Proteus mirabilis,46320,0.4790,0.000000,keep,
NZ_MG252894.1,Klebsiella,Klebsiella pneumoniae,161324,0.5204,0.000000,keep,
NZ_MF503687.1,Bacillus,Bacillus pumilus,5899,0.3936,0.000000,keep,
NZ_MF144194.1,Pseudomonas,Pseudomonas aeruginosa,205426,0.5624,0.000000,keep,
NZ_MF042358.1,Enterobacter,Enterobacter cloacae,100393,0.5516,0.000000,keep,
NZ_MG557998.1,Klebsiella,Klebsiella pneumoniae,46826,0.5621,0.000000,reject,F6_dup_sequence
NZ_KY978628.1,Cronobacter,Cronobacter sakazakii,312880,0.4769,0.000000,keep,
NZ_MF135535.1,Raoultella,Raoultella ornithinolytica,253021,0.4566,0.000000,reject,F6_dup_sequence
NZ_MG288677.1,Klebsiella,Klebsiella pneumoniae,66643,0.5013,0.000000,keep,
NZ_MF621616.1,Aeromonas,Aeromonas salmonicida,9995,0.6068,0.000000,keep,
NZ_LT575491.1,Serratia,Serratia marcescens,139403,0.5575,0.000000,keep,
NZ_MF156715.1,Citrobacter,Citrobacter freundii,98473,0.5123,0.000000,keep,
NZ_MG053312.1,Klebsiella,Klebsiella pneumoniae,233470,0.5029,0.000000,keep,
NZ_MF083142.1,Citrobacter,Citrobacter freundii,188310,0.4468,0.000000,keep,
NZ_LN809998.1,Pseudomonas,Pseudomonas aeruginosa,41240,0.5893,0.000000,keep,
NZ_MF510424.1,Klebsiella,Klebsiella pneumoniae,60299,0.5150,0.000000,keep,
NZ_MF072965.1,Citrobacter,Citrobacter freundii,152132,0.5114,0.000000,keep,
NZ_MG288678.1,Klebsiella,Klebsiella pneumoniae,97393,0.4754,0.000000,keep,
NZ_LN681230.1,Yersinia,Yersinia ruckeri,103917,0.4841,0.000000,keep,
NZ_KY863418.1,Enterobacter,Enterobacter asburiae,314137,0.4780,0.000000,keep,
NZ_MF993442.1,Klebsiella,Klebsiella pneumoniae,193176,0.5037,0.000000,keep,
NZ_LC507075.1,Providencia,Providencia rettgeri,204791,0.4742,0.000000,keep,
NZ_MF503688.1,Bacillus,Bacillus xiamenensis,7554,0.3651,0.000000,keep,
NZ_MG053313.1,Klebsiella,Klebsiella pneumoniae,57689,0.5519,0.000000,keep,
NZ_MF190369.1,Enterobacter,Enterobacter cloacae,68973,0.5496,0.000000,keep,
NZ_MF993441.1,Klebsiella,Klebsiella pneumoniae,81180,0.5056,0.000000,keep,
NZ_KY883660.1,Pseudomonas,Pseudomonas putida,468170,0.5656,0.000000,keep,
NZ_MF770238.1,Aeromonas,Aeromonas sobria,5381,0.5335,0.000000,keep,
NZ_MF344556.1,Enterobacter,Enterobacter cloacae,44121,0.4266,0.000000,keep,
NZ_MG197501.1,Klebsiella,Klebsiella pneumoniae,69666,0.5209,0.000000,keep,
NZ_MF156709.1,Klebsiella,Klebsiella aerogenes,45579,0.4788,0.000000,keep,
NZ_MG197500.1,Klebsiella,Klebsiella pneumoniae,69654,0.5208,0.000000,keep,
NZ_MF445422.1,Staphylococcus,Staphylococcus saprophyticus,4439,0.3005,0.000000,keep,
NZ_MF072964.1,Citrobacter,Citrobacter freundii,228709,0.4704,0.000000,keep,
NZ_MF953243.1,Klebsiella,Klebsiella pneumoniae,41608,0.5085,0.000000,keep,
NZ_MF042351.1,Serratia,Serratia marcescens,119046,0.5415,0.000000,keep,
NZ_MF582638.1,Klebsiella,Klebsiella pneumoniae,162117,0.5222,0.000000,keep,
NZ_MF062700.1,Enterobacter,Enterobacter cloacae,60206,0.4688,0.000000,keep,
NZ_KY978630.1,Cronobacter,Cronobacter sakazakii,139553,0.5635,0.000000,keep,
NZ_KY000063.1,Agrobacterium,Agrobacterium fabrum,177558,0.5606,0.000000,keep,
NZ_KY555069.1,Aeromonas,Aeromonas salmonicida,157744,0.5439,0.000000,keep,
NZ_MF093645.1,Escherichia,Escherichia coli,33293,0.4191,0.000000,keep,
NZ_KY000060.1,Agrobacterium,Agrobacterium radiobacter,218220,0.5675,0.000000,keep,
NZ_MF175186.1,Escherichia,Escherichia coli,33308,0.4185,0.000000,keep,
NZ_MF136778.1,Escherichia,Escherichia coli,47818,0.4720,0.000000,keep,
NZ_KY623659.1,Alcaligenes,Alcaligenes faecalis,124415,0.5069,0.000000,keep,
NZ_MF175185.1,Escherichia,Escherichia coli,33300,0.4185,0.000000,keep,
NZ_KY000056.1,Agrobacterium,Agrobacterium vitis,159663,0.5641,0.000000,keep,
NZ_KY000051.1,Agrobacterium,Agrobacterium tumefaciens,216754,0.5668,0.000000,keep,
NZ_KY000046.1,Agrobacterium,Agrobacterium tumefaciens,178205,0.5637,0.000219,keep,
NZ_KY000026.1,Agrobacterium,Agrobacterium genomosp.,228503,0.5538,0.000000,keep,
NZ_KY000075.1,Agrobacterium,Agrobacterium vitis,231210,0.5628,0.000000,keep,
NZ_KY000047.1,Agrobacterium,Agrobacterium tumefaciens,185402,0.5602,0.000000,keep,
NZ_KY000061.1,Agrobacterium,Agrobacterium radiobacter,194259,0.5465,0.000000,keep,
NZ_KY000054.1,Agrobacterium,Agrobacterium radiobacter,218289,0.5674,0.000000,keep,
NZ_KY000053.1,Agrobacterium,Agrobacterium tumefaciens,217655,0.5680,0.000000,keep,
NZ_KY000048.1,Rhizobium,Rhizobium rhizogenes,217843,0.5677,0.000000,keep,
NZ_KY000043.1,Rhizobium,Rhizobium rhizogenes,238155,0.5682,0.000000,keep,
NZ_KY000029.1,Agrobacterium,Agrobacterium genomosp.,220031,0.5511,0.000000,keep,
NZ_KY000071.1,Agrobacterium,Agrobacterium radiobacter,211026,0.5629,0.000000,keep,
NZ_KY000055.1,Agrobacterium,Agrobacterium rubi,217272,0.5674,0.000000,keep,
NZ_KY000040.1,Agrobacterium,Agrobacterium fabrum,214233,0.5667,0.000000,keep,
NZ_KY555070.1,Aeromonas,Aeromonas salmonicida,76724,0.5276,0.000000,keep,
NZ_KY000049.1,Rhizobium,Rhizobium rhizogenes,218205,0.5681,0.000000,keep,
NZ_KY000057.1,Agrobacterium,Agrobacterium fabrum,203533,0.5596,0.000000,keep,
NZ_KY000052.1,Agrobacterium,Agrobacterium radiobacter,217804,0.5678,0.000000,keep,
NZ_KY000074.1,Agrobacterium,Agrobacterium larrymoorei,215564,0.5417,0.000000,keep,
NZ_KY000073.1,Agrobacterium,Agrobacterium radiobacter,201992,0.5656,0.000000,keep,
NZ_LC492469.1,Escherichia,Escherichia coli,149768,0.5213,0.000000,keep,
NZ_KY000062.1,Agrobacterium,Agrobacterium tomkonis,237718,0.5702,0.000000,keep,
NZ_KY964068.1,Escherichia,Escherichia coli,89458,0.4999,0.000000,keep,
NZ_KY000050.1,Agrobacterium,Agrobacterium radiobacter,177135,0.5581,0.000000,keep,
NZ_KY887595.1,Escherichia,Escherichia coli,233057,0.5199,0.000000,keep,
NZ_KY000044.1,Agrobacterium,Agrobacterium fabrum,203551,0.5595,0.000000,keep,
NZ_KY887590.1,Escherichia,Escherichia coli,228517,0.5162,0.000000,keep,
NZ_KY000030.1,Agrobacterium,Agrobacterium tumefaciens,191583,0.5457,0.000000,keep,
NZ_KY964067.1,Escherichia,Escherichia coli,33303,0.4184,0.000000,keep,
NZ_MF144193.1,Klebsiella,Klebsiella pneumoniae,108037,0.4931,0.000000,keep,
NZ_KY853650.1,Escherichia,Escherichia coli,63381,0.4245,0.000000,keep,
NZ_LC438464.1,Escherichia,Escherichia coli,4087,0.4987,0.000000,keep,
NZ_KY000066.1,Agrobacterium,Agrobacterium deltaense,194466,0.5646,0.000000,keep,
NZ_MF344557.1,Klebsiella,Klebsiella pneumoniae,56893,0.5033,0.000000,keep,
NZ_KY990887.1,Escherichia,Escherichia coli,254048,0.4655,0.000000,keep,
NZ_KY000028.1,Agrobacterium,Agrobacterium tumefaciens,193011,0.5606,0.000000,keep,
NZ_KY887596.1,Escherichia,Escherichia coli,165169,0.5254,0.000000,keep,
NZ_KY000065.1,Agrobacterium,Agrobacterium radiobacter,183209,0.5623,0.000000,keep,
NZ_LC506720.1,Klebsiella,Klebsiella pneumoniae,99024,0.5268,0.000000,keep,
NZ_KY795978.1,Escherichia,Escherichia coli,60960,0.4236,0.000000,keep,
NZ_KY000041.1,Agrobacterium,Agrobacterium radiobacter,206707,0.5599,0.000000,keep,
NZ_MF042355.1,Klebsiella,Klebsiella michiganensis,110781,0.5485,0.000000,keep,
NZ_KY887591.1,Escherichia,Escherichia coli,188855,0.5161,0.000000,keep,
NZ_MF042353.1,Klebsiella,Klebsiella pneumoniae,120406,0.5450,0.000000,keep,
NZ_KY865319.1,Escherichia,Escherichia coli,37663,0.4176,0.000000,keep,
NZ_KY000031.1,Agrobacterium,Agrobacterium tumefaciens,204033,0.5595,0.000000,keep,
NZ_LC506718.1,Klebsiella,Klebsiella pneumoniae,99033,0.5268,0.000000,keep,
NZ_KY792081.1,Escherichia,Escherichia coli,63056,0.4254,0.000000,keep,
NZ_LC506717.1,Klebsiella,Klebsiella pneumoniae,99015,0.5268,0.000000,keep,
NZ_KY000027.1,Rhizobium,Rhizobium rhizogenes,197348,0.5609,0.000000,keep,
NZ_KY582848.1,Escherichia,Escherichia coli,31229,0.4174,0.000000,keep,
NZ_LC506719.1,Klebsiella,Klebsiella pneumoniae,87681,0.5251,0.000000,keep,
NZ_KY865322.1,Escherichia,Escherichia coli,77822,0.5306,0.000000,keep,
NZ_MF042354.1,Klebsiella,Klebsiella pneumoniae,120078,0.5462,0.000000,keep,
NZ_KY000070.1,Agrobacterium,Agrobacterium radiobacter,186980,0.5634,0.000000,keep,
NZ_KY865321.1,Escherichia,Escherichia coli,92545,0.5265,0.000000,keep,
NZ_MF042350.1,Klebsiella,Klebsiella pneumoniae,110432,0.5489,0.000000,keep,
NZ_KY000068.1,Agrobacterium,Agrobacterium deltaense,200539,0.5659,0.000000,keep,
NZ_KY865320.1,Escherichia,Escherichia coli,67077,0.4927,0.000000,keep,
NZ_LC506716.1,Klebsiella,Klebsiella pneumoniae,88608,0.5268,0.000000,keep,
NZ_KY000058.1,Rhizobium,Rhizobium rhizogenes,185662,0.5635,0.000000,keep,
NZ_KY829117.1,Escherichia,Escherichia coli,62098,0.4232,0.000000,keep,
NZ_KY495890.1,Klebsiella,Klebsiella pneumoniae,147442,0.5078,0.000007,keep,
NZ_KY000038.1,Rhizobium,Rhizobium rhizogenes,214064,0.5726,0.000000,keep,
NZ_KY795977.1,Escherichia,Escherichia coli,60733,0.4250,0.000000,keep,
NZ_KY271406.1,Klebsiella,Klebsiella pneumoniae,212319,0.5239,0.000589,keep,
NZ_KY000069.1,Agrobacterium,Agrobacterium deltaense,209570,0.5677,0.000000,keep,
NZ_KY515224.1,Escherichia,Escherichia coli,112210,0.4607,0.000134,keep,
NZ_KY354306.1,Klebsiella,Klebsiella pneumoniae,110253,0.4835,0.000000,keep,
NZ_KY000064.1,Agrobacterium,Agrobacterium radiobacter,187163,0.5631,0.000000,keep,
NZ_KY802014.1,Escherichia,Escherichia coli,65846,0.4255,0.000000,keep,
NZ_KY000039.1,Agrobacterium,Agrobacterium deltaense,204399,0.5819,0.000000,keep,
NZ_KY271413.1,Klebsiella,Klebsiella pneumoniae,54345,0.5321,0.000055,keep,
NZ_KY706108.1,Escherichia,Escherichia coli,142630,0.4868,0.000000,keep,
NZ_KY000025.1,Agrobacterium,Agrobacterium genomosp.,220031,0.5513,0.000000,keep,
NZ_KY499796.1,Klebsiella,Klebsiella pneumoniae,49782,0.4589,0.000000,keep,
NZ_KY689634.1,Escherichia,Escherichia coli,33303,0.4185,0.000000,keep,
NZ_KY000059.1,Agrobacterium,Agrobacterium radiobacter,186866,0.5632,0.000000,keep,
NZ_KY271407.1,Klebsiella,Klebsiella pneumoniae,116325,0.5121,0.000052,keep,
NZ_KY770025.1,Escherichia,Escherichia coli,34975,0.4246,0.000200,keep,
NZ_KY652381.1,Escherichia,Escherichia coli,33347,0.4180,0.000000,keep,
NZ_KY174332.1,Klebsiella,Klebsiella pneumoniae,137060,0.5195,0.000000,keep,
NZ_KY000033.1,Rhizobium,Rhizobium rhizogenes,185264,0.5809,0.000000,keep,
NZ_KY515225.1,Escherichia,Escherichia coli,109071,0.4627,0.000128,keep,
NZ_KY270849.1,Klebsiella,Klebsiella pneumoniae,143538,0.5425,0.000000,keep,
NZ_KY000032.1,Agrobacterium,Agrobacterium fabrum,193028,0.5465,0.000000,keep,
NZ_KY128483.1,Klebsiella,Klebsiella oxytoca,68763,0.5313,0.000000,keep,
NZ_KY075654.1,Escherichia,Escherichia coli,61908,0.4241,0.000000,keep,
NZ_KY075658.1,Escherichia,Escherichia coli,62067,0.4269,0.000000,keep,
NZ_KY070306.1,Klebsiella,Klebsiella pneumoniae,237216,0.5004,0.000000,keep,
NZ_KY471314.1,Escherichia,Escherichia coli,63230,0.4261,0.000000,keep,
NZ_MF150537.1,Lactococcus,Lactococcus lactis,15313,0.3523,0.000000,keep,
NZ_KY416992.1,Escherichia,Escherichia coli,114916,0.5360,0.000000,keep,
NZ_KY471310.1,Escherichia,Escherichia coli,61531,0.4238,0.000000,keep,
NZ_MF191707.1,Lactobacillus,Lactobacillus delbrueckii,5899,0.4401,0.000000,keep,
NZ_KY454616.1,Klebsiella,Klebsiella pneumoniae,6141,0.5217,0.000000,keep,
NZ_KY770024.1,Escherichia,Escherichia coli,33304,0.4185,0.000000,keep,
NZ_MF150120.1,Klebsiella,Klebsiella pneumoniae,46494,0.4611,0.000000,keep,
NZ_KY271405.1,Klebsiella,Klebsiella pneumoniae,133069,0.5156,0.000188,keep,
NZ_KY565557.1,Escherichia,Escherichia coli,64664,0.4258,0.000046,keep,
NZ_MF133442.1,Klebsiella,Klebsiella pneumoniae,122080,0.5001,0.000000,keep,
NZ_KY463451.1,Escherichia,Escherichia coli,33309,0.4184,0.000000,keep,
NZ_KY435936.1,Escherichia,Escherichia coli,47337,0.4682,0.000000,keep,
NZ_KY471308.1,Escherichia,Escherichia coli,61198,0.4236,0.000000,keep,
NZ_KY770023.1,Escherichia,Escherichia coli,33051,0.4176,0.000000,keep,
NZ_MF062092.1,Proteus,Proteus penneri,2683,0.4178,0.000000,keep,
NZ_KY463452.1,Escherichia,Escherichia coli,49897,0.4697,0.000000,keep,
NZ_KY693674.1,Escherichia,Escherichia coli,63722,0.4268,0.000000,keep,
NZ_KY494864.1,Pseudomonas,Pseudomonas aeruginosa,464804,0.5720,0.000000,keep,
NZ_KY405001.1,Escherichia,Escherichia coli,63087,0.4302,0.000000,keep,
NZ_KY075661.1,Escherichia,Escherichia coli,64857,0.4278,0.000000,keep,
NZ_KY471311.1,Escherichia,Escherichia coli,61584,0.4240,0.000000,keep,
NZ_KY565556.1,Escherichia,Escherichia coli,33303,0.4185,0.000000,keep,
NZ_KY463454.1,Escherichia,Escherichia coli,33309,0.4184,0.000000,keep,
NZ_KY471312.1,Escherichia,Escherichia coli,61632,0.4280,0.000000,keep,
NZ_KY271414.1,Klebsiella,Klebsiella pneumoniae,52848,0.5066,0.000416,keep,
NZ_KY471307.1,Escherichia,Escherichia coli,64600,0.4288,0.000000,keep,
NZ_KY288024.1,Klebsiella,Klebsiella pneumoniae,82841,0.5240,0.000000,keep,
NZ_MF062094.1,Proteus,Proteus mirabilis,2683,0.4174,0.000000,keep,
NZ_KY471146.1,Escherichia,Escherichia coli,47038,0.4196,0.000000,keep,
NZ_KY271403.1,Klebsiella,Klebsiella pneumoniae,116499,0.5400,0.000000,keep,
NZ_KY503037.1,Pseudomonas,Pseudomonas fluorescens,120754,0.5722,0.000000,keep,
NZ_KY471313.1,Escherichia,Escherichia coli,61653,0.4282,0.000000,keep,
NZ_KY270850.1,Klebsiella,Klebsiella pneumoniae,140093,0.5456,0.000000,keep,
NZ_KY471315.1,Escherichia,Escherichia coli,60357,0.4232,0.000000,keep,
NZ_MF133496.1,Klebsiella,Klebsiella pneumoniae,79372,0.5408,0.000000,keep,
NZ_KY213890.1,Klebsiella,Klebsiella pneumoniae,56650,0.5109,0.000000,keep,
NZ_KY471145.1,Escherichia,Escherichia coli,61572,0.4248,0.000000,keep,
NZ_MF062091.1,Proteus,Proteus mirabilis,2669,0.4174,0.000000,keep,
NZ_KY075662.1,Escherichia,Escherichia coli,62813,0.4271,0.000000,keep,
NZ_KY421937.1,Escherichia,Escherichia coli,236355,0.4618,0.000000,keep,
NZ_KY978631.1,Klebsiella,Klebsiella pneumoniae,73522,0.4500,0.000000,keep,
NZ_KY019259.1,Escherichia,Escherichia coli,249153,0.4651,0.000000,keep,
NZ_KY471309.1,Escherichia,Escherichia coli,60735,0.4251,0.000000,keep,
NZ_MF062090.1,Proteus,Proteus mirabilis,2669,0.4223,0.000000,keep,
NZ_KY471144.1,Escherichia,Escherichia coli,62174,0.4255,0.000000,keep,
NZ_KY348421.1,Escherichia,Escherichia coli,6757,0.5119,0.000000,keep,
NZ_MF062089.1,Proteus,Proteus mirabilis,2657,0.4170,0.000000,keep,
NZ_KY446064.1,Escherichia,Escherichia coli,61922,0.4317,0.000000,keep,
NZ_KY271415.1,Klebsiella,Klebsiella pneumoniae,55680,0.5082,0.000772,keep,
NZ_KY887594.1,Klebsiella,Klebsiella pneumoniae,215528,0.5196,0.000000,keep,
NZ_KY075660.1,Escherichia,Escherichia coli,33305,0.4183,0.000000,keep,
NZ_MF062093.1,Proteus,Proteus vulgaris,2683,0.4174,0.000000,keep,
NZ_KY075655.1,Escherichia,Escherichia coli,33292,0.4181,0.000000,keep,
NZ_LC075345.1,Pediococcus,Pediococcus pentosaceus,5366,0.3651,0.000000,keep,
NZ_KY075650.1,Escherichia,Escherichia coli,121454,0.4369,0.000000,keep,
NZ_LT575492.1,Serratia,Serratia marcescens,61142,0.5654,0.000000,keep,
NZ_KY689238.1,Klebsiella,Klebsiella pneumoniae,85874,0.5597,0.000000,keep,
NZ_KY070307.1,Klebsiella,Klebsiella pneumoniae,47126,0.4911,0.000000,keep,
NZ_MF042359.1,Serratia,Serratia marcescens,87593,0.5607,0.000000,keep,
NZ_KX946994.1,Klebsiella,Klebsiella oxytoca,8300,0.6160,0.000000,keep,
NZ_KY075656.1,Escherichia,Escherichia coli,60694,0.4248,0.000000,keep,
NZ_KY012276.1,Escherichia,Escherichia coli,33287,0.4184,0.000000,keep,
NZ_MF042356.1,Enterobacter,Enterobacter cloacae,110766,0.5485,0.000000,keep,
NZ_MF072963.1,Citrobacter,Citrobacter freundii,42763,0.4976,0.000000,keep,
NZ_LC511995.1,Enterobacter,Enterobacter hormaechei,119259,0.5285,0.000000,keep,
NZ_KY887593.1,Citrobacter,Citrobacter freundii,200459,0.5319,0.000000,keep,
NZ_KY887592.1,Citrobacter,Citrobacter freundii,219342,0.5349,0.000000,keep,
NZ_MF072961.1,Citrobacter,Citrobacter freundii,54034,0.4903,0.000000,keep,
NZ_LC066398.1,Aureimonas,Aureimonas sp.,9902,0.5768,0.000000,keep,
NZ_KY986974.1,Citrobacter,Citrobacter freundii,190310,0.5247,0.000000,keep,
NZ_MF072962.1,Citrobacter,Citrobacter freundii,51104,0.5043,0.000000,keep,
NZ_LC066394.1,Aureimonas,Aureimonas sp.,9912,0.5770,0.000000,keep,
NZ_LC066384.1,Aureimonas,Aureimonas sp.,13404,0.6130,0.000000,keep,
NZ_KY978629.1,Cronobacter,Cronobacter sakazakii,53793,0.4904,0.000000,keep,
NZ_KY940428.1,UNVERIFIED:,UNVERIFIED: Bacillus,236312,0.3423,0.000000,keep,
NZ_LC066393.1,Aureimonas,Aureimonas sp.,9396,0.5815,0.000000,keep,
NZ_LC066381.1,Aureimonas,Aureimonas ureilytica,9969,0.5934,0.000000,keep,
NZ_KY978588.1,Enterococcus,Enterococcus durans,3337,0.3311,0.000000,keep,
NZ_KY595966.1,Enterococcus,Enterococcus faecium,29134,0.3523,0.000000,keep,
NZ_KY689632.1,Escherichia,Escherichia coli,232345,0.4595,0.000034,keep,
NZ_KY659387.1,Citrobacter,Citrobacter freundii,53292,0.4959,0.000000,keep,
NZ_KY595962.1,Enterococcus,Enterococcus faecium,36124,0.3530,0.000000,keep,
NZ_LN681229.1,Yersinia,Yersinia ruckeri,16923,0.4146,0.000000,keep,
NZ_KY689633.1,Escherichia,Escherichia coli,256260,0.4681,0.000000,keep,
NZ_KY807921.1,Salmonella,Salmonella enterica,12201,0.5548,0.000000,reject,F6_dup_sequence
NZ_KY659388.1,Citrobacter,Citrobacter freundii,53292,0.4959,0.000000,keep,
NZ_KY751925.1,Klebsiella,Klebsiella pneumoniae,111951,0.5318,0.000000,keep,
NZ_KY579372.1,Enterococcus,Enterococcus faecium,72924,0.3498,0.000000,keep,
NZ_KY454639.1,Klebsiella,Klebsiella pneumoniae,164992,0.5166,0.000000,keep,
NZ_KY554216.1,Enterococcus,Enterococcus faecium,29320,0.3475,0.000000,keep,
NZ_KY270851.1,Citrobacter,Citrobacter freundii,263363,0.4662,0.000000,keep,
