isolate,arm,chromosome_acc,chromosome_len,plasmid_name,plasmid_acc,plasmid_len,plasmid_len_original,stratum,stratum_designed,analysis_set,copy_number,organism,gc,repeat_family,repeat_role,repeat_copies_in_plasmid,repeat_bases_in_plasmid,repeat_frac,cointegrated,isolate_seed
sim42,r9_raw,GCF_000599625.1,4820415,plasmid_4,NZ_CP066755.1,114710,114710,large,large,interventional,1,Escherichia coli,0.4653,IS_sim42,absorb,0,0,0.0,false,20360852
sim43,r10_hq,GCF_000599645.1,4875682,plasmid_1,NZ_CP146164.1,6101,6101,small,small,interventional,30,Klebsiella pneumoniae,0.5234,,,0,0,0.0,false,20360853
sim43,r10_hq,GCF_000599645.1,4875682,plasmid_2,NZ_CP031566.1,64859,64859,medium,medium,interventional,5,Enterobacter hormaechei,0.5221,,,0,0,0.0,false,20360853
sim43,r10_hq,GCF_000599645.1,4875682,plasmid_3,NZ_CP042536.1,140460,140460,large,large,interventional,2,Citrobacter freundii,0.5059,,,0,0,0.0,false,20360853
sim44,r9_raw,GCF_000599665.1,5054509,plasmid_1,NZ_CP117700.1,2620,2620,tiny,tiny,deterministic_tiny,30,Salmonella enterica,0.4760,,,0,0,0.0,false,20360854
sim44,r9_raw,GCF_000599665.1,5054509,plasmid_2,NZ_CP047747.1,5112,5112,small,small,interventional,25,Enterobacter hormaechei,0.4300,,,0,0,0.0,false,20360854
sim44,r9_raw,GCF_000599665.1,5054509,plasmid_3,NZ_CP068948.1,61943,61943,medium,medium,interventional,3,Escherichia coli,0.5120,,,0,0,0.0,false,20360854
sim44,r9_raw,GCF_000599665.1,5054509,plasmid_4,NZ_MG904992.1,207088,207088,large,large,interventional,1,Escherichia coli,0.4696,,,0,0,0.0,false,20360854
sim45,r10_hq,GCF_000599685.1,4998910,plasmid_1,NZ_CP147162.1,10060,10060,small,small,interventional,11,Klebsiella pneumoniae,0.5506,,,0,0,0.0,false,20360855
sim45,r10_hq,GCF_000599685.1,4998910,plasmid_2,NZ_CP019956.1,4707,4707,small,small,interventional,18,Escherichia coli,0.4551,,,0,0,0.0,false,20360855
sim45,r10_hq,GCF_000599685.1,4998910,plasmid_3,NZ_CP148408.1,99404,99404,medium,medium,interventional,4,Escherichia coli,0.4780,,,0,0,0.0,false,20360855
sim45,r10_hq,GCF_000599685.1,4998910,plasmid_4,NZ_CP086486.1,33826,33826,medium,medium,interventional,4,Escherichia coli,0.4163,,,0,0,0.0,false,20360855
sim46,r9_raw,GCF_000599705.1,5090442,plasmid_1,NZ_CP012932.1,2096,2096,tiny,tiny,deterministic_tiny,29,Salmonella enterica,0.5553,,,0,0,0.0,false,20360856
sim46,r9_raw,GCF_000599705.1,5090442,plasmid_2,CP056523.1,4106,4106,small,small,interventional,9,Klebsiella pneumoniae,0.4640,,,0,0,0.0,false,20360856
sim46,r9_raw,GCF_000599705.1,5090442,plasmid_3,NZ_AP025844.1,47295,47295,medium,medium,interventional,5,Enterobacter hormaechei,0.5099,,,0,0,0.0,false,20360856
sim47,r10_hq,GCF_000784925.1,5322978,plasmid_1,CP077348.1,6647,6647,small,small,interventional,1,Escherichia coli,0.4855,IS_sim47,absorb,0,0,0.0,true,20360857
sim47,r10_hq,GCF_000784925.1,5322978,plasmid_2,CP063894.1,67486,67486,medium,medium,interventional,3,Klebsiella variicola,0.4447,IS_sim47,absorb,0,0,0.0,false,20360857
sim47,r10_hq,GCF_000784925.1,5322978,plasmid_3,NZ_CP068945.1,149152,149152,large,large,interventional,1,Klebsiella pneumoniae,0.5007,IS_sim47,absorb,0,0,0.0,false,20360857
sim48,r9_raw,GCF_000801165.1,4827630,plasmid_1,NZ_CP093388.1,3910,3910,tiny,tiny,deterministic_tiny,20,Salmonella enterica,0.5100,,,0,0,0.0,false,20360858
sim48,r9_raw,GCF_000801165.1,4827630,plasmid_2,NZ_CP098125.1,9250,9250,small,small,interventional,21,Klebsiella pneumoniae,0.5109,,,0,0,0.0,false,20360858
sim48,r9_raw,GCF_000801165.1,4827630,plasmid_3,CP099112.1,5264,5264,small,small,interventional,14,Escherichia coli,0.4565,,,0,0,0.0,false,20360858
sim48,r9_raw,GCF_000801165.1,4827630,plasmid_4,NZ_CP143628.1,95336,95336,medium,medium,interventional,2,Escherichia coli,0.4752,,,0,0,0.0,false,20360858
sim49,r10_hq,GCF_000801185.2,4884464,plasmid_1,CP055461.1,11857,11857,small,small,interventional,22,Enterobacter cloacae,0.5363,,,0,0,0.0,false,20360859
sim49,r10_hq,GCF_000801185.2,4884464,plasmid_2,NZ_MT039153.1,50619,50619,medium,medium,interventional,6,Serratia entomophila,0.4336,,,0,0,0.0,false,20360859
sim49,r10_hq,GCF_000801185.2,4884464,plasmid_3,NZ_CP141549.1,51479,51479,medium,medium,interventional,6,Klebsiella pneumoniae,0.4637,,,0,0,0.0,false,20360859
sim49,r10_hq,GCF_000801185.2,4884464,plasmid_4,NZ_CP138308.1,210622,210622,large,large,interventional,1,Salmonella enterica,0.5168,,,0,0,0.0,false,20360859
sim50,r9_raw,GCF_000814145.2,4761012,plasmid_1,NZ_CP056116.1,1550,1550,tiny,tiny,deterministic_tiny,30,Escherichia coli,0.5142,,,0,0,0.0,false,20360860
sim50,r9_raw,GCF_000814145.2,4761012,plasmid_2,NZ_CP083861.1,4801,4801,small,small,interventional,23,Enterobacter kobei,0.3553,,,0,0,0.0,false,20360860
sim50,r9_raw,GCF_000814145.2,4761012,plasmid_3,NZ_CP054412.1,44885,44885,medium,medium,interventional,2,Enterobacter hormaechei,0.4689,,,0,0,0.0,false,20360860
sim50,r9_raw,GCF_000814145.2,4761012,plasmid_4,NZ_CP082155.1,220228,220228,large,large,interventional,2,Klebsiella pneumoniae,0.5323,,,0,0,0.0,false,20360860
